Index,Linked List,Heap
1,1,1
2,1,1
3,1,1
4,1,2
5,2,3
6,5,1
7,5,1
8,4,2
9,7,1
10,5,1
11,6,1
12,5,2
13,9,1
14,7,2
15,2,4
16,1,4
17,7,1
18,7,2
19,18,1
20,10,2
21,20,1
22,18,1
23,21,1
24,4,3
25,21,1
26,15,2
27,25,1
28,26,1
29,2,5
30,22,1
31,15,1
32,5,3
33,13,1
34,23,1
35,11,2
36,17,2
37,20,1
38,1,5
39,28,1
40,10,3
41,19,1
42,11,2
43,27,1
44,5,4
45,34,1
46,31,2
47,8,3
48,3,4
49,47,1
50,3,4
51,25,1
52,49,1
53,44,1
54,18,3
55,8,3
56,38,2
57,55,1
58,56,1
59,33,2
60,57,1
61,46,2
62,2,5
63,8,2
64,11,4
65,48,1
66,29,1
67,41,1
68,21,3
69,36,1
70,23,2
71,32,1
72,69,1
73,42,2
74,5,5
75,6,4
76,24,3
77,56,1
78,24,3
79,29,1
80,53,1
81,27,3
82,69,1
83,48,1
84,13,4
85,17,3
86,61,1
87,70,1
88,11,5
89,60,1
90,31,2
91,3,5
92,41,2
93,35,2
94,16,3
95,57,1
96,8,4
97,62,1
98,22,2
99,36,1
100,12,3
101,58,1
102,86,1
103,5,5
104,10,4
105,93,1
106,19,2
107,44,1
108,68,2
109,49,2
110,86,1
111,30,3
112,83,2
113,67,3
114,95,2
115,100,1
116,91,2
117,54,3
118,73,2
119,104,1
120,15,3
121,113,1
122,112,1
123,65,2
124,36,2
125,1,6
126,8,3
127,45,1
128,84,1
129,40,2
130,87,2
131,97,1
132,107,1
133,60,2
134,106,1
135,120,1
136,42,3
137,127,1
138,33,4
139,121,1
140,42,3
141,134,1
142,7,6
143,139,1
144,72,3
145,122,1
146,113,1
147,34,3
148,46,2
149,57,1
150,4,6
151,61,1
152,44,4
153,143,1
154,138,1
155,79,2
156,147,1
157,149,1
158,127,1
159,87,1
160,31,4
161,72,1
162,46,3
163,159,1
164,139,1
165,2,8
166,133,1
167,25,4
168,152,2
169,2,6
170,164,1
171,29,3
172,161,1
173,172,1
174,16,3
175,76,2
176,142,1
177,147,1
178,108,2
179,20,5
180,37,3
181,115,1
182,84,1
183,81,1
184,102,2
185,62,3
186,169,1
187,89,1
188,53,2
189,129,1
190,3,5
191,85,1
192,32,3
193,58,2
194,79,2
195,191,1
196,59,2
197,38,3
198,16,4
199,34,2
200,41,3
201,5,6
202,66,2
203,27,2
204,5,6
205,80,1
206,114,1
207,174,1
208,45,3
209,34,3
210,195,1
211,86,2
212,158,2
213,92,2
214,165,1
215,76,2
216,149,2
217,149,2
218,168,1
219,205,1
220,93,2
221,173,1
222,87,2
223,121,1
224,8,6
225,163,1
226,111,3
227,76,3
228,205,2
229,130,3
230,104,3
231,16,4
232,136,2
233,157,1
234,44,4
235,142,1
236,235,1
237,159,2
238,105,3
239,47,3
240,184,2
241,87,3
242,134,2
243,136,1
244,171,2
245,81,3
246,203,1
247,105,2
248,241,1
249,152,1
250,83,1
251,90,1
252,101,2
253,170,1
254,209,1
255,111,1
256,108,2
257,78,2
258,179,1
259,75,2
260,211,1
261,23,5
262,90,2
263,100,1
264,198,2
265,132,2
266,245,1
267,199,1
268,41,4
269,91,3
270,247,1
271,244,1
272,175,2
273,128,2
274,123,2
275,99,3
276,198,1
277,64,4
278,200,2
279,190,2
280,230,1
281,5,7
282,280,1
283,55,3
284,191,1
285,234,1
286,168,2
287,12,5
288,28,4
289,72,2
290,93,2
291,261,1
292,99,3
293,183,1
294,69,3
295,19,5
296,30,4
297,49,2
298,241,1
299,68,2
300,148,2
301,213,1
302,36,3
303,35,3
304,49,5
305,166,1
306,147,2
307,265,1
308,230,2
309,52,4
310,172,2
311,178,1
312,56,4
313,171,2
314,227,2
315,265,1
316,113,3
317,98,3
318,281,1
319,142,2
320,177,2
321,60,4
322,100,2
323,273,1
324,258,1
325,174,1
326,295,2
327,289,2
328,212,2
329,227,1
330,21,5
331,37,4
332,141,2
333,63,3
334,72,2
335,182,1
336,228,2
337,211,2
338,127,2
339,149,1
340,258,2
341,299,1
342,325,1
